region,district,facility_name,n,taux_rupture_pct
Sud,Ebolowa,Centre de Santé Urbain Ebolowa,56,33.93
Sud-Ouest,Kumba,Clinique Communautaire Kumba,56,32.14
Est,Batouri,Centre Médical Intégré Batouri,66,31.82
Extrême-Nord,Maroua,Hôpital Régional Maroua,57,29.82
Centre,Yaoundé I,District Hospital Yaoundé I,59,28.81
Centre,Yaoundé I,Centre de Santé Urbain Yaoundé I,61,27.87
Nord,Pitoa,Hôpital Régional Pitoa,54,27.78
Est,Batouri,Hôpital Régional Batouri,62,27.42
Nord-Ouest,Bamenda,Centre Médical Intégré Bamenda,74,27.03
Nord,Guider,District Hospital Guider,56,26.79
Ouest,Mbouda,District Hospital Mbouda,57,26.32
Centre,Mbalmayo,District Hospital Mbalmayo,65,26.15
Sud,Sangmélima,Centre de Santé Urbain Sangmélima,73,26.03
Centre,Yaoundé II,Centre de Santé Urbain Yaoundé II,62,25.81
Centre,Mbalmayo,Hôpital Régional Mbalmayo,66,25.76
Est,Batouri,Clinique Communautaire Batouri,65,24.62
Extrême-Nord,Maroua,District Hospital Maroua,65,24.62
Centre,Yaoundé I,Hôpital Régional Yaoundé I,70,24.29
Ouest,Dschang,Clinique Communautaire Dschang,62,24.19
Sud,Ebolowa,Centre Médical Intégré Ebolowa,72,23.61
Nord,Garoua,Centre de Santé Urbain Garoua,68,23.53
Sud,Ebolowa,Hôpital Régional Ebolowa,77,23.38
Ouest,Dschang,District Hospital Dschang,60,23.33
Littoral,Nkongsamba,Centre de Santé Urbain Nkongsamba,65,23.08
Littoral,Douala I,Hôpital Régional Douala I,57,22.81
Centre,Mbalmayo,Centre Médical Intégré Mbalmayo,71,22.54
Est,Batouri,District Hospital Batouri,58,22.41
Nord,Pitoa,Centre Médical Intégré Pitoa,58,22.41
Adamaoua,Tibati,Hôpital Régional Tibati,77,22.08
Sud,Sangmélima,Hôpital Régional Sangmélima,68,22.06
Sud,Sangmélima,Centre Médical Intégré Sangmélima,59,22.03
Sud,Sangmélima,District Hospital Sangmélima,64,21.88
Sud-Ouest,Buea,District Hospital Buea,64,21.88
Nord,Garoua,Hôpital Régional Garoua,55,21.82
Est,Yokadouma,Hôpital Régional Yokadouma,51,21.57
Adamaoua,Meiganga,Centre Médical Intégré Meiganga,70,21.43
Nord,Garoua,Centre Médical Intégré Garoua,61,21.31
Est,Bertoua,Centre de Santé Urbain Bertoua,76,21.05
Ouest,Bafoussam,Centre de Santé Urbain Bafoussam,57,21.05
Nord,Guider,Clinique Communautaire Guider,67,20.9
Nord-Ouest,Wum,Clinique Communautaire Wum,72,20.83
Extrême-Nord,Mokolo,Hôpital Régional Mokolo,53,20.75
Centre,Yaoundé II,Hôpital Régional Yaoundé II,58,20.69
Littoral,Douala I,Centre de Santé Urbain Douala I,68,20.59
Adamaoua,Meiganga,Hôpital Régional Meiganga,54,20.37
Centre,Yaoundé II,Clinique Communautaire Yaoundé II,64,20.31
Sud-Ouest,Kumba,Hôpital Régional Kumba,69,20.29
Adamaoua,Ngaoundéré,Clinique Communautaire Ngaoundéré,65,20
Est,Bertoua,Clinique Communautaire Bertoua,75,20
Extrême-Nord,Maroua,Centre de Santé Urbain Maroua,55,20
Ouest,Mbouda,Centre Médical Intégré Mbouda,60,20
Sud-Ouest,Buea,Hôpital Régional Buea,60,20
Sud-Ouest,Limbe,Centre de Santé Urbain Limbe,65,20
Sud,Sangmélima,Clinique Communautaire Sangmélima,56,19.64
