region,district,nb_consultations
Adamaoua,Meiganga,348
Adamaoua,Tibati,348
Extrême-Nord,Mokolo,344
Sud,Ebolowa,339
Centre,Mbalmayo,337
Littoral,Douala II,337
Est,Bertoua,327
Ouest,Dschang,325
Extrême-Nord,Kousseri,324
Nord,Garoua,322
Adamaoua,Ngaoundéré,320
Centre,Yaoundé I,320
Nord,Guider,320
Sud,Sangmélima,320
Nord-Ouest,Wum,319
Ouest,Bafoussam,319
Est,Batouri,315
Littoral,Douala I,315
Nord-Ouest,Kumbo,312
Est,Yokadouma,310
Extrême-Nord,Maroua,310
Sud-Ouest,Limbe,309
Littoral,Nkongsamba,307
Sud-Ouest,Buea,306
Nord-Ouest,Bamenda,304
Sud,Kribi,297
Ouest,Mbouda,296
Sud-Ouest,Kumba,294
Centre,Yaoundé II,291
Nord,Pitoa,276
Non renseigné,Douala I,26
Non renseigné,Sangmélima,25
Non renseigné,Batouri,23
Non renseigné,Wum,23
Non renseigné,Tibati,22
Non renseigné,Mbouda,21
Non renseigné,Yaoundé II,21
Non renseigné,Dschang,20
Non renseigné,Mokolo,20
Non renseigné,Bafoussam,18
Non renseigné,Bertoua,17
Non renseigné,Kousseri,17
Non renseigné,Ngaoundéré,17
Non renseigné,Bamenda,16
Non renseigné,Maroua,16
Non renseigné,Pitoa,16
Non renseigné,Douala II,15
Non renseigné,Kumba,15
Non renseigné,Kumbo,14
Non renseigné,Limbe,14
Non renseigné,Meiganga,14
Non renseigné,Buea,13
Non renseigné,Ebolowa,13
Non renseigné,Garoua,13
Non renseigné,Kribi,13
Non renseigné,Nkongsamba,13
Non renseigné,Yokadouma,13
Non renseigné,Mbalmayo,12
Non renseigné,Yaoundé I,12
Non renseigné,Guider,8
